StreamerID,Average viewer in December 2018,Total minute streamed in December 2018,Most streamed game title (Game Title 1),Average viewer of Game Title 1,Most number of viewer of Game Title 1,Total streamed minutes of Game Title 1,Game title which had most number of viewer (Game Title 2),Average viewer of Game Title 2,Most number of viewer of Game Title 2,Total streamed minutes of Game Title 2,Game title which has most number of average viewer (Game Title 3),Average viewer of Game Title 3,Most number of viewer of Game Title 3,Total streamed minutes of Game Title 3
yugyungwoo,213,12772,World of Warcraft,162,1036,351705,World of Warcraft,162,1036,351705,Lost Ark Online,280,450,325
dahyeon_chu,92,11090,Just Chatting,165,964,15686,Just Chatting,165,964,15686,Kartrider,276,443,110
lovelyyeon,227,10766,IRL,97,931,30876,IRL,97,931,30876,Resident Evil 2 Remake (working title),422,444,40
megthomatho,196,13587,Dead by Daylight,205,1652,183519,SOS,186,1788,3105,Cuisine Royale,359,465,30
leejinho4028,141,15653,Black Desert Online,108,576,108293,Black Desert Online,108,576,108293,Black Desert Online,108,576,108293
quuut3842,200,13995,IRL,163,1480,105728,IRL,163,1480,105728,Golf It!,613,640,40
anchorstar,144,13772,Tom Clancy's The Division,97,584,84157,Lost Ark Online,137,919,52939,Tom Clancy's The Division 2,192,234,90
boowoonim,289,4283,PLAYERUNKNOWN'S BATTLEGROUNDS,228,802,30184,Red Dead Redemption 2,301,1000,5115,Soul Worker,495,667,345
madkof_kof,156,12428,The King of Fighters '98: The Slugfest,188,1188,34661,The King of Fighters '98: The Slugfest,188,1188,34661,The King of Fighters '98: Ultimate Match Online,286,440,473
gusdnwndrmq,518,6080,Overwatch,392,2998,105400,Overwatch,392,2998,105400,Five Nights at Freddy's,1022,1255,110
charming_jo,245,8077,IRL,455,13771,58428,IRL,455,13771,58428,Social Eating,7657,7657,10
mhj1682,156,7562,Kartrider,95,844,43550,Kartrider,95,844,43550,Just Chatting,241,401,247
loveseti,332,6315,IRL,450,3215,37219,IRL,450,3215,37219,Tetris Classic,785,787,20
insaengtv,137,16026,FIFA 18,33,1153,108187,FIFA 18,33,1153,108187,FIFA 19,118,274,69375
loven4862,255,8817,IRL,123,447,13248,Just Chatting,270,1278,10483,Dead by Daylight,436,443,20
yeonhyang13,203,9656,Resident Evil 7 biohazard,265,814,6852,Persona 5,298,1523,6315,Injustice 2,546,823,398
kfrkfr,257,23897,Monster Hunter World,238,992,111022,Lost Ark Online,272,1056,45205,Lost Ark Online,272,1056,45205
luvlying,91,5218,World of Warcraft,58,606,102997,World of Warcraft,58,606,102997,World of Warcraft,58,606,102997
yaltank,133,17224,World of Tanks,188,599,148725,World of Tanks,188,599,148725,Just Chatting,193,246,110
sleepy0min,314,8217,Overwatch,362,888,35784,Overwatch,362,888,35784,Overwatch,362,888,35784
seouldynasty,1924,1152,Overwatch,757,12004,16953,Overwatch,757,12004,16953,PLAYERUNKNOWN'S BATTLEGROUNDS,933,1043,75
inecr7024,962,1821,PLAYERUNKNOWN'S BATTLEGROUNDS,984,7583,8943,IRL,975,12579,3407,Sea of Thieves,4074,5104,174
lol_ruler,912,1851,League of Legends,441,3433,27797,League of Legends,441,3433,27797,League of Legends,441,3433,27797
root_supernova,188,11174,StarCraft II,178,886,134073,StarCraft II,178,886,134073,StarCraft II,178,886,134073
apzks1236,924,3545,Overwatch,1227,8160,65138,Overwatch,1227,8160,65138,Getting Over It,1478,3457,400
i_am_bloooo,111,10627,Black Desert Online,99,808,125222,Black Desert Online,99,808,125222,Fortnite,115,190,80
bgirl_0,986,3566,IRL,1096,6701,45571,IRL,1096,6701,45571,Doki Doki Literature Club,3282,3995,495
lsd818,244,12536,Hearthstone,221,1773,45723,Just Chatting,243,3516,8883,Mirror,732,1902,245
kds200,330,4931,The King of Fighters '98: The Slugfest,176,3384,66776,The King of Fighters '98: The Slugfest,176,3384,66776,The King of Fighters 2000,365,749,1071
poongkotv,217,16662,Street Fighter V,319,4434,101477,Street Fighter V,319,4434,101477,Dragon Ball FighterZ,350,532,455
saechorom,126,11400,Overwatch,87,1485,168099,PLAYERUNKNOWN'S BATTLEGROUNDS,48,2653,41630,Puyo Puyo Tetris,171,196,40
choiyum1004,408,4755,IRL,529,4532,26931,IRL,529,4532,26931,Rock of Ages,860,1011,70
vzezev,97,21119,League of Legends,77,628,37147,League of Legends,77,628,37147,Emily Wants to Play,126,144,140
jyw_zz,150,13230,League of Legends,157,1186,20504,League of Legends,157,1186,20504,League of Legends,157,1186,20504
mirdayo,153,12495,PLAYERUNKNOWN'S BATTLEGROUNDS,68,2081,210880,PLAYERUNKNOWN'S BATTLEGROUNDS,68,2081,210880,Rust,100,118,460
jegalyangtv,130,10826,PLAYERUNKNOWN'S BATTLEGROUNDS,70,295,42844,League of Legends,72,1132,7272,Dungreed,255,496,3157
team_spiritzero,720,4827,Street Fighter V,1196,14970,80172,Street Fighter V,1196,14970,80172,Dragon Ball FighterZ,1377,4527,1015
lo10002,266,6638,League of Legends,328,4745,134301,League of Legends,328,4745,134301,Getting Over It,686,1071,500
architect_ow,243,4805,Overwatch,245,7250,60093,Overwatch,245,7250,60093,StarCraft,356,558,45
sikkazama,193,6224,Enter the Gungeon,182,758,15406,Sid Meier's Civilization VI: Rise &amp; Fall,237,2055,9601,Hearthstone,338,1600,13587
doobu25,145,13085,World of Warcraft,119,764,211402,World of Warcraft,119,764,211402,World of Warcraft,119,764,211402
clid,590,2519,League of Legends,550,2016,4587,League of Legends,550,2016,4587,League of Legends,550,2016,4587
chonana1,509,5823,Warcraft III: The Frozen Throne,376,2030,127642,Warcraft III: The Frozen Throne,376,2030,127642,Warcraft III: The Frozen Throne,376,2030,127642
rnfkxjr,313,7798,Overwatch,368,2780,59947,Overwatch,368,2780,59947,Getting Over It,528,561,80
doeupzi,201,6117,PLAYERUNKNOWN'S BATTLEGROUNDS,209,1320,94204,PLAYERUNKNOWN'S BATTLEGROUNDS,209,1320,94204,The Forest,551,605,65
pymyp2288,171,11128,IRL,335,1356,45927,Garry's Mod,569,1591,19585,Stick Fight: The Game,870,909,70
onpoong,1063,1324,StarCraft II,559,2887,13475,StarCraft II,559,2887,13475,StarCraft II,559,2887,13475
bbira,105,13763,Overwatch,128,855,175822,Overwatch,128,855,175822,Tales Runner,173,189,65
